UA	pragas	cultivo
1	46	refugio
2	19	agroflorestal
3	27	agroflorestal
4	55	ausente
5	72	ausente
6	87	ausente
7	41	agroflorestal
8	28	agroflorestal
9	63	ausente
10	45	mata
11	39	agroflorestal
12	57	refugio
13	35	agroflorestal
14	57	mata
15	39	mata
16	75	ausente
17	52	mata
18	43	mata
19	70	ausente
20	17	agroflorestal
21	46	refugio
22	63	ausente
23	44	mata
24	38	mata
25	13	agroflorestal
26	52	mata
27	29	refugio
28	29	agroflorestal
29	63	ausente
30	43	mata
31	36	mata
32	50	refugio
33	54	ausente
34	57	mata
35	84	ausente
36	42	refugio
37	41	agroflorestal
38	58	mata
39	60	refugio
40	12	agroflorestal
41	59	ausente
42	85	ausente
43	30	agroflorestal
44	65	ausente
45	61	refugio
46	46	refugio
47	38	refugio
48	58	ausente
49	43	mata
50	51	mata
51	36	refugio
52	39	refugio
53	38	agroflorestal
54	52	refugio
55	84	ausente
56	53	refugio
57	23	agroflorestal
58	54	mata
