UA	Sanhaço	Melastomatacea
1	Sim	Sim
2	Sim	Sim
3	Sim	Sim
4	Sim	Sim
5	Sim	Sim
6	Sim	Sim
7	Sim	Sim
8	Sim	Sim
9	Sim	Sim
10	Sim	Sim
11	Sim	Sim
12	Sim	Sim
13	Sim	Sim
14	Sim	Não
15	Sim	Não
16	Sim	Não
17	Sim	Não
18	Sim	Não
19	Sim	Não
20	Sim	Não
21	Sim	Não
22	Sim	Não
23	Sim	Não
24	Sim	Não
25	Sim	Não
26	Não	Sim
27	Não	Sim
28	Não	Sim
29	Não	Sim
30	Não	Sim
31	Não	Sim
32	Não	Sim
33	Não	Sim
34	Não	Sim
35	Não	Sim
36	Não	Sim
37	Não	Sim
38	Não	Sim
39	Não	Sim
40	Não	Sim
41	Não	Sim
42	Não	Sim
43	Não	Sim
44	Não	Sim
45	Não	Sim
46	Não	Sim
47	Não	Sim
48	Não	Sim
49	Não	Sim
50	Não	Sim
51	Não	Sim
52	Não	Sim
53	Não	Sim
54	Não	Sim
55	Não	Sim
56	Não	Sim
57	Não	Sim
58	Não	Sim
59	Não	Sim
60	Não	Não
61	Não	Não
62	Não	Não
63	Não	Não
64	Não	Não
65	Não	Não
66	Não	Não
67	Não	Não
68	Não	Não
69	Não	Não
70	Não	Não
71	Não	Não
72	Não	Não
73	Não	Não
74	Não	Não
75	Não	Não
76	Não	Não
77	Não	Não
78	Não	Não
79	Não	Não
80	Não	Não
81	Não	Não
82	Não	Não
83	Não	Não
84	Não	Não
85	Não	Não
86	Não	Não
87	Não	Não
88	Não	Não
89	Não	Não
90	Não	Não
91	Não	Não
92	Não	Não
93	Não	Não
94	Não	Não
95	Não	Não
96	Não	Não
97	Não	Não
98	Não	Não
99	Não	Não
