UA	Tamanho	Sexo
1	53.2	fêmea
2	43.4	macho
3	35.3	macho
4	44.7	fêmea
5	32.5	macho
6	33.9	macho
7	50.0	fêmea
8	39.5	macho
9	40.4	macho
10	32.1	macho
11	47.9	fêmea
12	41.4	fêmea
13	41.6	macho
14	48.4	fêmea
15	48.9	fêmea
16	41.9	fêmea
17	34.4	macho
18	41.3	fêmea
19	43.6	fêmea
20	50.5	fêmea
21	50.3	fêmea
22	33.4	macho
23	41.7	macho
24	33.4	macho
25	53.6	fêmea
26	51.6	fêmea
27	41.7	macho
28	34.7	macho
29	39.4	macho
30	39.8	macho
31	44.3	macho
32	38.0	macho
33	48.6	fêmea
34	52.1	fêmea
35	45.7	fêmea
36	43.8	fêmea
37	52.6	fêmea
