Área	Riqueza
Integral	18
Integral	19
Integral	19
Integral	17
Integral	13
Integral	14
Integral	19
Integral	6
Integral	13
Integral	6
Integral	8
Integral	9
Integral	15
Integral	14
Integral	11
Sustentável	16
Sustentável	17
Sustentável	20
Sustentável	19
Sustentável	19
Sustentável	18
Sustentável	19
Sustentável	17
Sustentável	8
Sustentável	9
Sustentável	9
Sustentável	14
Sustentável	14
Sustentável	14
Sustentável	11
Desprotegido	18
Desprotegido	17
Desprotegido	19
Desprotegido	14
Desprotegido	15
Desprotegido	13
Desprotegido	7
Desprotegido	11
Desprotegido	12
Desprotegido	10
Desprotegido	10
Desprotegido	12
Desprotegido	12
Desprotegido	13
Desprotegido	15
