EstimateS (Version 9.1.0), Copyright R. K. Colwell:  http://purl.oclc.org/estimates
Diversity Output from Input File:  Seeds50  (5 fevereiro, 2017)

Samples	Individuals (computed)	S(est)	S(est) 95% CI Lower Bound	S(est) 95% CI Upper Bound	S(est) SD	S Mean (runs)	Singletons Mean	Singletons SD (runs)	Doubletons Mean	Doubletons SD (runs)	Uniques Mean	Uniques SD (runs)	Duplicates Mean	Duplicates SD (runs)	ACE Mean	ACE  SD (runs)	ICE Mean	ICE SD (runs)	Chao 1 Mean	Chao 1 95% CI Lower Bound	Chao 1 95% CI Upper Bound	Chao 1 SD (analytical)	Chao 2 Mean	Chao 2 95% CI Lower Bound	Chao 2 95% CI Upper Bound	Chao 2 SD (analytical)	Jack 1 Mean	Jack 1 SD (analytical)	Jack 2 Mean	Jack 2 SD (runs)	Bootstrap Mean	Bootstrap  SD (runs)	MMRuns Mean	MMMeans (1 run)	Cole Rarefaction	Cole SD (analytical)	Alpha Mean	Alpha SD (analytical)	Shannon Mean	Shannon SD (runs)	Shannon Exponential Mean	Shannon Exponential SD (runs)	Simpson Inv Mean	Simpson Inv SD (runs)	
1	7.87	3.81	2.27	5.35	0.79	3.77	2.28	1.33	0.76	0.89	3.77	1.73	0	0	0	0	3.77	1.73	5.2	0	0	0	3.77	0	0	0.01	3.77	0	0	0	3.77	1.73	0	0	5.84	1.89	0	0	0	0	0	0	0	0	
2	15.74	6.62	4.2	9.04	1.23	6.84	3.72	1.72	1.34	1.15	5.81	2.2	1.03	1	14.5	8.92	28.25	22.53	10.21	7.44	27.97	3.95	12.54	8.17	33.26	5.16	9.75	0.91	9.75	3.13	8.29	2.61	16.04	25.32	9.44	2.13	0	0	0	0	0	0	0	0	
3	23.6	8.8	5.88	11.73	1.49	8.78	4.18	1.87	1.86	1.38	6.43	2.29	1.9	1.11	15.85	8.62	32.81	22.66	12.41	9.44	30.9	4.17	14.81	10.11	38.17	5.73	13.07	1.38	14.89	4.25	10.76	2.71	28.33	25.53	12.02	2.21	0	0	0	0	0	0	0	0	
4	31.47	10.57	7.36	13.79	1.64	10.61	4.77	1.99	1.96	1.36	6.96	2.34	2.52	1.39	18.04	8.78	28.97	22.02	15.06	11.45	36.34	4.89	17.05	12	41.77	6.09	15.83	1.77	18.47	4.82	12.97	2.7	49.62	25.81	14.02	2.25	0	0	0	0	0	0	0	0	
5	39.34	12.06	8.67	15.44	1.73	12.2	5.28	2	2.04	1.54	7.51	2.47	2.68	1.45	19.44	6.84	27.45	15.61	17.84	13.32	42.41	5.81	19.52	13.83	46.39	6.72	18.21	2.03	21.51	5.48	14.89	2.98	41.83	26.14	15.64	2.26	0	0	0	0	0	0	0	0	
6	47.21	13.34	9.85	16.83	1.78	13.48	5.62	2.11	2.27	1.66	7.87	2.57	2.79	1.7	20.88	6.94	27.55	13.31	19.41	14.69	44.41	5.98	22.91	15.79	54.14	8.04	20.04	2.29	23.8	6.07	16.39	3.12	37.27	26.49	17	2.27	0	0	0	0	0	0	0	0	
7	55.07	14.48	10.93	18.03	1.81	14.88	6.11	2.22	2.37	1.65	8.45	2.66	2.94	1.61	23.03	7.67	28.5	10.13	21.81	16.38	48.91	6.63	24.45	17.17	56.28	8.22	22.12	2.49	26.41	6.54	18.07	3.43	43.79	26.86	18.17	2.26	0	0	0	0	0	0	0	0	
8	62.94	15.5	11.91	19.09	1.83	15.89	6.38	2.26	2.5	1.57	8.77	2.71	2.93	1.66	24.22	7.18	29.86	10.69	23.19	17.5	50.91	6.85	27.16	18.73	62.46	9.28	23.56	2.63	28.26	6.81	19.24	3.43	41.11	27.23	19.2	2.25	0	0	0	0	0	0	0	0	
9	70.81	16.43	12.82	20.05	1.84	16.92	6.69	2.18	2.55	1.45	9.06	2.56	3.09	1.64	25.5	7.06	30.66	10.07	24.38	18.54	52.87	7.03	27.89	19.57	63.45	9.28	24.97	2.77	29.92	6.62	20.44	3.4	56.49	27.61	20.11	2.23	0	0	0	0	0	0	0	0	
10	78.68	17.29	13.67	20.91	1.85	17.85	6.81	2.27	2.75	1.4	9.26	2.63	3.31	1.65	26.43	7.23	31.54	9.87	24.85	19.35	51.95	6.67	28.87	20.58	63.52	9.12	26.18	2.81	31.24	6.89	21.5	3.51	37.06	27.98	20.93	2.21	0	0	0	0	0	0	0	0	
11	86.55	18.08	14.45	21.71	1.85	18.74	6.88	2.23	2.99	1.45	9.43	2.52	3.62	1.65	27.08	6.58	32.11	8.66	25.63	20.23	51.91	6.5	28.83	21.21	60.88	8.41	27.31	2.93	32.36	6.68	22.5	3.55	34.6	28.34	21.66	2.19	0	0	0	0	0	0	0	0	
12	94.41	18.82	15.19	22.45	1.85	19.35	6.92	2.3	3.09	1.4	9.43	2.66	3.83	1.77	27.76	6.81	32.95	9.17	25.81	20.71	51.16	6.22	29.89	21.99	62.49	8.62	27.99	2.96	32.95	7.07	23.16	3.48	40.11	28.69	22.33	2.16	0	0	0	0	0	0	0	0	
13	102.28	19.51	15.87	23.14	1.85	19.81	6.83	2.31	3.15	1.42	9.26	2.52	3.93	1.94	27.93	6.7	32.65	8.53	26.23	21.16	51.41	6.18	30.04	22.38	61.88	8.4	28.36	2.95	33.14	6.81	23.6	3.39	41.38	29.02	22.95	2.14	0	0	0	0	0	0	0	0	
