EstimateS (Version 9.1.0), Copyright R. K. Colwell:  http://purl.oclc.org/estimates
Diversity Output from Input File:  Oak Hickory WhitePine  (5 fevereiro, 2017)

Samples	Individuals (computed)	S(est)	S(est) 95% CI Lower Bound	S(est) 95% CI Upper Bound	S(est) SD	S Mean (runs)	Singletons Mean	Singletons SD (runs)	Doubletons Mean	Doubletons SD (runs)	Uniques Mean	Uniques SD (runs)	Duplicates Mean	Duplicates SD (runs)	ACE Mean	ACE  SD (runs)	ICE Mean	ICE SD (runs)	Chao 1 Mean	Chao 1 95% CI Lower Bound	Chao 1 95% CI Upper Bound	Chao 1 SD (analytical)	Chao 2 Mean	Chao 2 95% CI Lower Bound	Chao 2 95% CI Upper Bound	Chao 2 SD (analytical)	Jack 1 Mean	Jack 1 SD (analytical)	Jack 2 Mean	Jack 2 SD (runs)	Bootstrap Mean	Bootstrap  SD (runs)	MMRuns Mean	MMMeans (1 run)	Cole Rarefaction	Cole SD (analytical)	Alpha Mean	Alpha SD (analytical)	Shannon Mean	Shannon SD (runs)	Shannon Exponential Mean	Shannon Exponential SD (runs)	Simpson Inv Mean	Simpson Inv SD (runs)	
1	29.91	8.36	5.66	11.07	1.38	8.64	2.99	1.51	2.12	1.42	8.64	2.71	0	0	12.27	4.26	8.64	2.71	10.12	8.84	20.82	2.23	8.64	13.67	13.67	0	8.64	0	0	0	8.64	2.71	0	0	11.1	1.98	0	0	0	0	0	0	0	0	
2	59.82	12.73	9.75	15.71	1.52	12.5	4.12	2.21	2.98	1.48	8.6	3.17	3.9	1.39	18.51	8.38	41.48	23.52	15.15	12.98	28.97	3.09	16.72	13.45	32.05	3.84	16.8	1.73	16.8	4.74	14.65	3.99	25.62	26.61	15.32	2.01	0	0	0	0	0	0	0	0	
3	89.73	15.87	12.82	18.92	1.56	16.13	5.02	2.15	3.72	1.71	9.69	2.63	3.82	1.76	22.42	6.62	36.72	15.81	19.33	16.72	34.75	3.52	23.84	17.97	49.16	6.58	22.59	2.83	25.18	5.03	19.14	3.42	34.97	28.44	18.05	1.93	0	0	0	0	0	0	0	0	
4	119.64	18.24	15.24	21.25	1.53	18.33	5.22	1.93	4.15	1.75	9.48	2.37	5	2.07	23.9	5.41	33.24	10.41	21.33	18.91	36	3.34	24.92	19.89	46.79	5.67	25.44	3.09	28.51	5.24	21.65	3.44	68.28	29.66	20.03	1.8	0	0	0	0	0	0	0	0	
5	149.55	20.12	17.2	23.04	1.49	20.5	5.52	1.89	4.51	1.62	9.6	2.1	5.29	2.13	26.14	5.36	33.76	7.34	23.6	21.07	38.23	3.38	27.36	22.13	49.9	5.86	28.18	3.25	31.56	4.53	24.09	2.59	51.2	30.56	21.55	1.65	0	0	0	0	0	0	0	0	
6	179.45	21.64	18.8	24.47	1.45	21.92	5.53	1.96	4.54	1.63	9.22	1.9	5.56	1.92	27.31	5.11	33.47	5.67	25.13	22.54	40.03	3.45	28.05	23.34	48.74	5.34	29.6	3.15	32.78	3.96	25.55	2.02	518.52	31.24	22.74	1.48	0	0	0	0	0	0	0	0	
7	209.36	22.88	20.12	25.65	1.41	23	5.24	1.71	4.54	1.67	8.57	1.84	5.95	1.71	27.52	4.07	32.76	4.7	25.89	23.52	40.08	3.23	27.89	24.09	45.38	4.43	30.35	2.96	32.93	4.06	26.54	1.95	47.47	31.77	23.69	1.3	0	0	0	0	0	0	0	0	
8	239.27	23.92	21.21	26.62	1.38	23.94	5.08	1.54	4.55	1.43	8.03	1.81	6.23	1.54	27.96	2.82	32.58	4.01	26.49	24.38	39.62	2.95	28.03	24.82	43.48	3.84	30.97	2.75	32.98	4.21	27.4	1.75	41.13	32.17	24.46	1.1	0	0	0	0	0	0	0	0	
9	269.18	24.76	22.09	27.44	1.36	24.82	4.92	1.39	4.62	1.32	7.52	1.67	6.61	1.46	28.46	2.17	32.64	3.43	27.11	25.2	39.44	2.73	28.23	25.52	41.93	3.34	31.5	2.51	32.85	3.92	28.21	1.32	37.48	32.48	25.09	0.88	0	0	0	0	0	0	0	0	
10	299.09	25.45	22.78	28.12	1.36	25.45	4.59	1.02	4.6	1.08	6.88	1.21	7.17	1.25	28.54	1.22	32.27	2.2	27.32	25.73	38.39	2.38	27.97	25.92	39.37	2.68	31.64	2.34	32.05	3.1	28.71	0.83	36.07	32.71	25.59	0.61	0	0	0	0	0	0	0	0	
11	329	26	23.3	28.7	1.38	26	4	0	5	0	6	0	8	0	28.46	0	30.2	0	27	26.11	34.95	1.58	27.52	26.23	36.15	1.9	31.45	2.07	30.47	0	29.07	0	35.33	32.86	0	0	0	0	0	0	0	0	0	0	
